iso3,country_name,region,income_group,row_type,capital,lat,lon,member_count,population_total,pop_0_14_pct,pop_15_64_pct,pop_65plus_pct,age_dependency_ratio,lfp_rate_total,lfp_rate_15_24,lfp_rate_15_24_ilo,lfp_rate_25_54,lfp_rate_55_64,emp_to_pop_ratio_15plus,youth_employment_rate_15_24,unemployment_rate_total,unemployment_rate_15_24,labor_force_total,employed_total,employed_total_source,employed_share_of_population_pct,emp_agriculture_pct,emp_industry_pct,emp_services_pct,isco1_managers_pct,isco2_professionals_pct,isco3_technicians_pct,isco4_clerical_pct,isco5_service_sales_pct,isco6_agricultural_pct,isco7_craft_pct,isco8_operators_pct,isco9_elementary_pct,isco_unclassified_pct,isco_armed_forces_thousands,isco_groups_reported,isco_classified_share_pct,isco_classification,isco_source_employed_thousands,white_collar_pct,professional_core_pct,blue_collar_service_pct,white_collar_employed,professional_core_employed,clerical_employed,professionals_employed,young_white_collar_pct,prime_white_collar_pct,late_career_white_collar_pct,youth_age_band_used,entry_level_data_quality,young_employed_total,young_white_collar_employed,youth_cohort_share,youth_wc_gap,entry_level_squeeze_index,squeeze_components_present,gdp_per_capita_ppp,population_15_24,labor_force_advanced_edu_pct,service_exports_usd,ict_service_exports_pct,ict_service_exports_usd,ai_exposure_weighted_score,exposed_wage_bill_ppp,data_year_population,data_year_labor,data_year_sector,data_year_occupation,data_year_youth_occupation,data_year_lfp_age,data_year_context,prime_white_collar_year,late_career_white_collar_year,data_source_override,data_year_population_range,data_year_labor_range,data_year_sector_range,data_year_occupation_range,data_year_youth_occupation_range,isco_coverage_pct_of_employment,youth_isco_coverage_pct_of_employment,data_quality_flag,isco1_age_15_24_pct,isco1_age_25_54_pct,isco1_age_55_64_pct,isco2_age_15_24_pct,isco2_age_25_54_pct,isco2_age_55_64_pct,isco3_age_15_24_pct,isco3_age_25_54_pct,isco3_age_55_64_pct,isco4_age_15_24_pct,isco4_age_25_54_pct,isco4_age_55_64_pct,isco5_age_15_24_pct,isco5_age_25_54_pct,isco5_age_55_64_pct,isco6_age_15_24_pct,isco6_age_25_54_pct,isco6_age_55_64_pct,isco7_age_15_24_pct,isco7_age_25_54_pct,isco7_age_55_64_pct,isco8_age_15_24_pct,isco8_age_25_54_pct,isco8_age_55_64_pct,isco9_age_15_24_pct,isco9_age_25_54_pct,isco9_age_55_64_pct,isco1_age_year,isco2_age_year,isco3_age_year,isco4_age_year,isco5_age_year,isco6_age_year,isco7_age_year,isco8_age_year,isco9_age_year,isco1_edu_bas_pct,isco1_edu_int_pct,isco1_edu_adv_pct,isco1_edu_ltb_pct,isco2_edu_bas_pct,isco2_edu_int_pct,isco2_edu_adv_pct,isco2_edu_ltb_pct,isco3_edu_bas_pct,isco3_edu_int_pct,isco3_edu_adv_pct,isco3_edu_ltb_pct,isco4_edu_bas_pct,isco4_edu_int_pct,isco4_edu_adv_pct,isco4_edu_ltb_pct,isco5_edu_bas_pct,isco5_edu_int_pct,isco5_edu_adv_pct,isco5_edu_ltb_pct,isco6_edu_bas_pct,isco6_edu_int_pct,isco6_edu_adv_pct,isco6_edu_ltb_pct,isco7_edu_bas_pct,isco7_edu_int_pct,isco7_edu_adv_pct,isco7_edu_ltb_pct,isco8_edu_bas_pct,isco8_edu_int_pct,isco8_edu_adv_pct,isco8_edu_ltb_pct,isco9_edu_bas_pct,isco9_edu_int_pct,isco9_edu_adv_pct,isco9_edu_ltb_pct,isco1_edu_year,isco2_edu_year,isco3_edu_year,isco4_edu_year,isco5_edu_year,isco6_edu_year,isco7_edu_year,isco8_edu_year,isco9_edu_year
WLD,World,AGGREGATE,Aggregate,world,,,,31,3666449493.0,18.9291,67.9176,13.1534,47.4123,59.8398,41.1285,36.9436,75.4203,61.1577,57.0941,34.9626,4.5931,15.3112,1783692844.0,1701521385,sum of member countries,46.4079,24.3718,27.474,48.1541,4.9261,12.6379,8.1687,4.8846,14.1213,21.4105,10.8592,6.202,16.7972,,,,,,,30.6173,17.564,69.3828,520959907,298855216,47327118,122447821,21.3814,32.8208,27.743,,aggregate of country proxies,,21393329,14.5764,,53.0908,,32423.2843,534434805.0,68.5816,5554959302720.8,,1014960256779,0.3219,15565328395510,2025,2025,2025,2025,2025,,,,,,2025-2025,2025-2025,2025-2025,2017-2025,2017-2025,56.94,56.94,"aggregate — 30/31 members with ISCO data, 56.94% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU27,European Union (27),AGGREGATE,Aggregate,group,,,,27,451127411.0,14.2074,63.3498,22.4428,57.9381,57.3108,40.5791,40.2276,87.3812,69.3891,53.9177,34.6311,5.9812,15.9453,221676605.0,208539948,sum of member countries,46.2264,3.231,23.9178,72.8512,5.4929,23.5607,16.0943,9.4513,16.1217,2.5732,11.311,7.0751,8.3239,,,,,,,54.5992,29.0537,45.4008,113861143,60588571,19709678,49133526,37.141,57.1395,51.4823,,aggregate of country proxies,,6369694,10.5721,,49.3611,,65558.0487,47693370.0,77.355,3519487300332.7603,,637240374300,0.4734,6598880949620,2025,2025,2025,2025,2025,,,,,,2025-2025,2025-2025,2025-2025,2025-2025,2024-2025,100.0,100.0,"aggregate — 27/27 members with ISCO data, 100.0% of employment covered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,Europe & Central Asia,Upper middle income,country,Yerevan,40.1596,44.509,,3086700.0,18.9875606484226,66.5695749965832,14.4428643549941,50.2187800971675,59.388,38.353,37.734,79.658,69.933,51.744,28.288,12.871,26.244,1485063.0,1293921,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),41.9192,26.9715605307322,21.2986956321494,51.7297438371184,6.088,14.4926,8.8042,3.4026,14.3821,30.3081,9.148,5.4605,7.9139,0.0,,9,100.0,ISCO-08,1011.725,32.7874,20.5806,67.2126,424243,266297,44027,187523,31.4836,35.6218,26.7252,Y15-24,proxy_youth_15_24_x_isco,126435,39806,14.4801,-1.3038,77.25,4,24754.2118320452,446958.0,72.326,6123196517.19286,24.5223360398132,1501550826,0.3261,10444981216,2025,2025,2025,2017,2017,2023,,2017,2017,,,,,,,,,partial — ISCO data 2017 (>5yr old),1.1982,65.8311,26.9929,8.4972,70.0835,15.1175,8.3279,71.5113,15.1122,8.5606,69.1707,19.2012,12.1032,69.5582,15.5429,6.6343,55.5067,26.7556,5.7373,71.7686,19.645,4.8855,60.82,29.0126,6.6369,57.0922,28.1289,2017,2017,2017,2017,2017,2017,2017,2017,2017,0.6703,25.7096,73.6202,,0.5269,12.9978,86.4753,,0.9109,61.9668,37.1223,,,,,,2.5318,78.3316,19.1365,,8.0891,86.9141,4.9619,,4.8783,83.3922,11.7295,,4.6122,81.5929,13.7967,,8.2993,86.1304,5.2144,,2016,2014,2015,,2017,2017,2017,2017,2017
CHN,China,East Asia & Pacific,Upper middle income,country,Beijing,40.0495,116.286,,1406585000.0,15.4072909264023,69.6812776464024,14.9114314271952,43.5105718441117,64.551,49.282,,,,61.572,41.497,4.615,15.795,768071923.0,732625404,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),52.0854,21.6768623336956,31.7923235092111,46.5308142926728,,,,,,,,,,,,0,,,,,,,,,,,,,,,proxy_unavailable,,,14.0075,,,2,29333.3311051433,197026759.0,,384679024468.52,19.135055120832,73608543370,,,2025,2025,2025,,,,,,,,,,,,,,,partial — no ISCO data; no youth x ISCO cross-tab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,Europe & Central Asia,High income,country,Berlin,52.5235,13.4115,,83491249.0,13.8859014629835,62.4109003911736,23.7031981458429,60.2284213984744,60.571,54.624,54.655,88.369,77.313,58.323,50.875,3.711,6.862,43549178.0,41933068,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),50.2245,1.07104516806735,25.9741661900069,72.9547886419257,4.4556,23.8106,20.1084,12.4382,14.1058,1.2049,10.9119,5.5611,7.4035,0.5058,160.125,9,99.49,ISCO-08,42178.036,60.8128,28.2662,39.1872,25500673,11852885,5215719,9984515,48.2658,64.2646,58.5974,Y15-24,proxy_youth_15_24_x_isco,4417168,2131981,10.3992,-12.547,48.12,4,75406.6888111618,8682394.0,73.112,518047040037.538,11.4732816343515,59436995902,0.5072,1603783548216,2025,2025,2025,2025,2024,2025,,2024,2024,,,,,,,,,complete,1.3724,65.757,27.1129,6.2517,71.4695,18.5111,9.8637,65.0374,22.0954,9.8856,59.891,26.831,15.9743,56.921,22.3342,11.7044,52.2172,26.5647,15.5544,59.7203,22.4319,6.6073,58.4067,29.097,9.9399,56.5883,26.3828,2024,2024,2024,2024,2024,2024,2024,2024,2024,7.5267,37.3155,55.1578,,2.579,20.6041,76.8169,,8.3393,58.2296,33.419,,11.9632,70.376,17.6608,,23.9726,63.7521,12.2665,,18.3107,57.6405,23.9606,,21.1745,66.9704,11.838,,31.761,59.8068,8.4173,,49.3976,43.247,7.3312,,2024,2024,2024,2024,2024,2024,2024,2024,2024
IND,India,South Asia,Lower middle income,country,New Delhi,28.6353,77.225,,1463865525.0,24.1952667831956,68.4281617563294,7.37657146047502,46.1386620179175,55.658,31.204,31.577,69.825,57.326,53.31,26.204,4.219,16.022,617625336.0,591567723,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),40.4113,41.6251280877573,25.8173073806381,32.5575625031109,2.8064,5.8491,2.654,2.3188,13.2475,33.9702,11.4711,6.0623,21.6208,-0.0,,9,100.0,ISCO-08,476557.087,13.6283,8.6555,86.3719,80620624,51203144,13717272,34601388,11.325,15.3655,9.2632,Y15-24,proxy_youth_15_24_x_isco,63969257,7244518,16.6764,-2.3033,55.1,4,11747.9160436011,244120201.0,65.309,412267781402.327,48.5955481655845,200343788283,0.2201,1529626316454,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete,4.6681,80.4266,11.7978,10.3104,80.2207,7.7754,10.2528,79.6469,8.827,12.2137,79.7807,6.8739,12.1806,71.0968,11.979,8.9251,64.1296,18.2036,15.3333,74.1916,8.1665,12.0748,79.7181,6.8934,13.6884,71.983,11.2332,2025,2025,2025,2025,2025,2025,2025,2025,2025,19.9871,19.909,57.5865,2.5174,6.4529,12.9216,79.7771,0.8485,21.649,29.2451,47.9946,1.1113,18.7873,23.3253,57.5429,0.3445,49.9639,17.8982,16.7007,15.4372,44.8636,9.1447,6.0679,39.9238,60.0815,15.3144,6.6897,17.9144,64.0863,16.119,6.6905,13.1042,51.0136,6.5679,2.3497,40.0688,2025,2025,2025,2025,2025,2025,2025,2025,2025
USA,United States,North America,High income,country,Washington D.C.,38.8895,-77.032,,341784857.0,17.0990415161586,64.5137336553454,18.387224828496,55.0057553311598,61.704,50.83,55.587,83.559,66.625,59.114,46.082,4.198,9.34,174833917.0,167494389,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),49.0058,1.52494439217106,18.9122762686396,79.5627787515985,11.6979,23.001,17.7732,8.2726,14.7149,0.3987,8.1486,5.6138,10.3794,-0.0,,9,100.0,ISCO-08,163492.862,60.7447,34.6989,39.2554,101743964,58118711,13856141,38525384,37.1995,64.1707,63.4621,Y15-24,proxy_youth_15_24_x_isco,20804879,7739311,13.2093,-23.5452,49.19,4,90026.5163005744,45147517.0,70.984,1232402000000.0,8.29810402774419,102266000000,0.4925,7426376148220,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete,3.4059,69.0074,19.3806,5.796,72.3152,15.2876,9.4514,65.4504,17.5498,13.4914,61.7857,17.237,26.9881,54.1687,12.4622,13.7085,62.6836,16.3563,11.9277,65.7645,17.0238,8.7254,62.9771,19.8614,20.7682,58.0769,14.8893,2025,2025,2025,2025,2025,2025,2025,2025,2025,0.8742,29.6129,69.452,0.0608,0.0985,11.1269,88.7664,0.0081,1.2112,42.608,56.1186,0.0622,0.742,54.0527,45.176,0.0292,2.7461,63.697,33.4412,0.1158,18.7583,58.3378,20.8092,2.0945,7.4084,65.6178,26.6554,0.3184,5.7184,71.7965,22.1137,0.3714,9.3788,72.3938,17.6608,0.5666,2025,2025,2025,2025,2025,2025,2025,2025,2025
