iso3,country_name,region,income_group,row_type,capital,lat,lon,member_count,population_total,pop_0_14_pct,pop_15_64_pct,pop_65plus_pct,age_dependency_ratio,lfp_rate_total,lfp_rate_15_24,lfp_rate_15_24_ilo,lfp_rate_25_54,lfp_rate_55_64,emp_to_pop_ratio_15plus,youth_employment_rate_15_24,unemployment_rate_total,unemployment_rate_15_24,labor_force_total,employed_total,employed_total_source,employed_share_of_population_pct,emp_agriculture_pct,emp_industry_pct,emp_services_pct,isco1_managers_pct,isco2_professionals_pct,isco3_technicians_pct,isco4_clerical_pct,isco5_service_sales_pct,isco6_agricultural_pct,isco7_craft_pct,isco8_operators_pct,isco9_elementary_pct,isco_unclassified_pct,isco_armed_forces_thousands,isco_groups_reported,isco_classified_share_pct,isco_classification,isco_source_employed_thousands,white_collar_pct,professional_core_pct,blue_collar_service_pct,white_collar_employed,professional_core_employed,clerical_employed,professionals_employed,young_white_collar_pct,prime_white_collar_pct,late_career_white_collar_pct,youth_age_band_used,entry_level_data_quality,young_employed_total,young_white_collar_employed,youth_cohort_share,youth_wc_gap,entry_level_squeeze_index,squeeze_components_present,gdp_per_capita_ppp,population_15_24,labor_force_advanced_edu_pct,service_exports_usd,ict_service_exports_pct,ict_service_exports_usd,ai_exposure_weighted_score,exposed_wage_bill_ppp,data_year_population,data_year_labor,data_year_sector,data_year_occupation,data_year_youth_occupation,data_year_lfp_age,data_year_context,prime_white_collar_year,late_career_white_collar_year,data_source_override,data_year_population_range,data_year_labor_range,data_year_sector_range,data_year_occupation_range,data_year_youth_occupation_range,isco_coverage_pct_of_employment,youth_isco_coverage_pct_of_employment,data_quality_flag
BLZ,Belize,Latin America & Caribbean,Upper middle income,country,Belmopan,17.2534,-88.7713,,422924.0,26.270086351212,68.5019057797619,5.22800786902611,45.9809948534919,59.1,53.821,54.027,82.595,67.209,53.866,43.422,8.856,19.321,184286.0,167966,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),39.7154,16.1329308733263,15.3488482856752,68.5182208409985,0.9621,6.301,7.7336,7.1285,27.9857,7.3728,13.892,6.571,22.0533,0.3813,1.507,9,99.62,ISCO-08,164.116,22.1252,7.2631,77.8748,37163,12200,11973,10584,17.9397,24.97,12.0975,Y15-24,proxy_youth_15_24_x_isco,29141,5228,15.8686,-4.1855,63.28,4,14965.7521203147,67112.0,85.427,1214117946.88684,10.1554795657338,123299500,0.3209,806658370,2025,2025,2025,2019,2019,2019,,2019,2019,,,,,,,,,partial — ISCO data 2019 (>5yr old)
BMU,Bermuda,North America,High income,country,Hamilton,32.3293,-64.706,,64555.0,13.352283729252,64.0381383172358,22.6095779535121,56.1586840832124,,,,,,,,,,,35926,ILOSTAT survey total (ISCO base),55.6518,,,,18.6828,17.8478,6.6386,18.1122,21.3717,2.3047,8.395,4.6958,1.9512,0.1751,,9,99.82,ISCO-88,35.926,61.2814,36.5306,38.7184,22016,13124,6507,6412,,,,,proxy_unavailable,,,,,,0,118727.973294368,,,1586991467.64978,2.53443978284008,40221343,0.5228,2229962187,2025,,,2013,,,,,,,,,,,,,,partial — ISCO-88 fallback (no ISCO-08 series published); no labor force data; no youth x ISCO cross-tab
BOL,Bolivia,Latin America & Caribbean,Lower middle income,country,La Paz,-13.9908,-66.1936,,12581843.0,29.4403184589221,64.8196359158049,5.74004562527309,54.2742478853241,78.626,61.246,63.482,90.354,87.172,76.294,58.176,2.967,5.013,6980187.0,6773085,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),53.8322,24.7143896755516,19.793531111996,55.4920644482231,1.1067,7.064,5.783,2.8958,24.1679,21.3341,20.0314,9.2608,8.3563,0.0017,4.276,9,100.0,ISCO-08,5234.326,16.8495,8.1707,83.1505,1141231,553408,196135,478451,9.2419,21.4019,12.9909,Y15-24,proxy_youth_15_24_x_isco,1256479,116123,17.1659,-7.6076,41.73,4,12873.0394876629,2159790.0,86.863,1212091698.37536,3.87952469060657,47023397,0.2744,23924988317,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
BRA,Brazil,Latin America & Caribbean,Upper middle income,country,Brasilia,-15.7801,-47.9292,,212812405.0,19.3866212827208,69.1330392605638,11.4803394567154,44.6486379446561,63.139,54.634,54.048,80.376,55.402,59.37,46.995,5.97,13.981,108318282.0,101851681,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),47.8598,7.62782592703127,20.2130767653291,72.1590982894571,3.6706,13.4832,9.04,8.5091,22.3584,4.5244,13.2296,9.5454,15.6394,0.2999,829.556,9,99.7,ISCO-08,101317.099,34.7029,17.1538,65.2972,35345487,17471434,8666661,13732866,32.7645,36.6696,27.7862,Y15-24,proxy_youth_15_24_x_isco,15788240,5172938,15.7865,-1.9384,69.62,4,23433.2897595431,33595574.0,82.325,54420203876.03,13.6726278252098,7440671938,0.3806,908385614252,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
BRB,Barbados,Latin America & Caribbean,High income,country,Bridgetown,13.0935,-59.6105,,282623.0,17.0636907405081,65.8497966375761,17.0865126219157,51.8604888585599,64.685,48.348,50.39,91.022,74.825,60.465,39.413,6.524,18.479,151620.0,141728,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),50.1474,1.24533440580262,16.1717079779015,82.5829576162959,10.5498,12.6304,10.234,11.427,19.9049,4.0767,10.7495,5.9406,14.4871,1.888,,9,98.11,ISCO-08,124.145,44.8412,23.1802,55.1588,63553,32853,16195,17901,37.7268,49.0817,37.9937,Y15-24,proxy_youth_15_24_x_isco,14813,5588,13.2986,-7.1144,61.46,4,25893.8676913012,37585.0,79.21,1522876825.41545,0.225770564803364,3438208,0.4241,1556398687,2025,2025,2025,2024,2024,2024,,2024,2024,,,,,,,,,complete
BRN,Brunei Darussalam,East Asia & Pacific,High income,country,Bandar Seri Begawan,4.94199,114.946,,466330.0,20.625929464189,72.1355347763014,7.23853575950962,38.6277832278011,64.235,34.942,37.64,84.056,45.186,60.846,28.572,5.277,18.23,237763.0,225216,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),48.2954,1.20105852995764,20.3855819694696,78.4133595005728,6.7744,18.3535,15.2287,10.6874,20.7029,0.9402,9.1825,3.6579,14.4724,0.1166,6.283,9,99.88,ISCO-08,216.433,51.044,25.1279,48.9559,114959,56592,24070,41335,21.4089,52.9827,59.5876,Y15-24,proxy_youth_15_24_x_isco,22100,4731,16.5865,-29.6351,51.74,4,92429.9262686398,77348.0,81.523,463217798.473123,3.27205418369471,15156737,0.4619,9615232933,2025,2025,2025,2024,2024,2024,,2024,2024,,,,,,,,,complete
BTN,Bhutan,South Asia,Lower middle income,country,Thimphu,27.5768,89.6177,,796682.0,20.3610853270724,73.0116112900827,6.62730338284496,36.964601922052,64.82,30.834,24.857,82.458,71.276,62.729,25.576,3.227,17.052,411263.0,397992,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),49.9562,42.369985477168,15.87888259622,41.751131926612,11.5663,8.4008,5.9085,2.6876,8.7618,41.8438,8.9883,7.0099,4.8331,0.5061,3.315,9,99.49,ISCO-08,365.086,28.5632,19.9671,71.4369,113679,79467,10696,33435,28.276,31.8977,12.6929,Y15-24,proxy_youth_15_24_x_isco,37710,10663,18.5073,-0.2872,74.8,4,19594.0028382994,147444.0,71.591,288136243.969186,0.447055216258853,1288128,0.2779,2167135447,2025,2025,2025,2024,2024,2025,,2024,2024,,,,,,,,,complete
BWA,Botswana,Sub-Saharan Africa,Upper middle income,country,Gaborone,-24.6544,25.9201,,2562122.0,31.9566554598103,63.9604203078542,4.08292423233554,56.3467509263192,68.798,41.908,41.386,86.088,70.065,51.958,22.628,24.477,46.004,1199393.0,905818,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),35.3542,18.0285048740906,15.7727337962707,66.1987613296387,5.6522,8.3368,6.8278,3.7564,19.4626,17.1965,8.3684,4.4845,25.9148,0.2298,2.502,9,99.77,ISCO-08,857.49,24.5732,13.989,75.4268,222588,126715,34026,75516,8.7929,28.3444,21.2225,Y15-24,proxy_youth_15_24_x_isco,97580,8580,16.8312,-15.7803,55.85,4,20697.9104661898,431236.0,78.796,934965829.746904,3.77925586485781,35334751,0.2973,5573940901,2025,2025,2025,2024,2024,2024,,2024,2024,,,,,,,,,complete
CAF,Central African Republic,Sub-Saharan Africa,Low income,country,Bangui,5.63056,21.6407,,5513282.0,48.682635860092,49.1193811598971,2.19798298001082,103.585626770159,73.389,60.652,,,,68.802,54.535,6.251,10.086,2076374.0,1946580,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),35.3071,66.0601029284997,13.3934965380557,20.5464005334446,,,,,,,,,,,,0,,,,,,,,,,,,,,,proxy_unavailable,,,19.5597,,,2,1313.8765680523,1078382.0,,,,,,,2025,2025,2025,,,,,,,,,,,,,,,partial — no ISCO data; no youth x ISCO cross-tab
CAN,Canada,North America,High income,country,Ottawa,45.4215,-75.6919,,41651653.0,14.980307512278,64.7593251011302,20.2603673865917,54.4179177883457,64.516,63.051,63.014,88.472,67.542,60.061,54.349,6.907,13.8,22846475.0,21268469,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),51.0627,1.10470724220992,18.748427284978,80.1468654728121,8.1559,18.7256,16.8432,12.1785,15.3468,1.9431,10.208,8.6053,7.9936,0.0022,,9,100.0,ISCO-88,17801.8,55.9032,26.8815,44.0968,11889755,5717283,2590180,3982648,,,,,proxy_unavailable,,,10.5002,,,2,66745.8248561648,4373511.0,73.48,171878983528.577,14.4011984941597,24752633588,0.4795,680689332526,2025,2025,2025,2014,,2025,,,,,,,,,,,,partial — ISCO-88 fallback (no ISCO-08 series published); no youth x ISCO cross-tab
CHE,Switzerland,Europe & Central Asia,High income,country,Bern,46.948,7.44821,,9092436.0,14.8834431802057,64.6844363881088,20.4321204316855,54.5966931972385,66.747,65.647,65.837,90.636,78.122,63.494,59.712,4.873,9.041,5165662.0,4913939,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),54.0443,2.24176495349087,19.5896920575442,78.1685429889649,8.9748,27.2629,17.6993,11.8092,13.4534,2.0237,9.0996,3.7233,5.9538,2.1578,5.709,9,97.84,ISCO-08,4774.716,65.7462,36.2377,34.2538,3230728,1780698,580297,1339682,49.1682,68.9483,65.0335,Y15-24,proxy_youth_15_24_x_isco,572639,281556,10.5473,-16.578,42.37,4,102513.347221899,959002.0,80.044,195485791668.792,12.8258843047603,25072781472,0.5265,265221392343,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
CHI,Channel Islands,Europe & Central Asia,High income,country,,49.45,-2.53,,168466.0,14.033478764135,65.5521918499392,20.4143293859259,52.5504151838671,56.356,48.038,,,,52.88,41.252,6.169,14.126,81617.0,76582,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),45.4584,2.0609894726437,12.6464192161321,85.2925913112242,,,,,,,,,,,,0,,,,,,,,,,,,,,,proxy_unavailable,,,,,,1,,,,,,,,,2025,2025,2025,,,,,,,,,,,,,,,partial — no ISCO data; no youth x ISCO cross-tab
CHL,Chile,Latin America & Caribbean,High income,country,Santiago,-33.475,-70.6475,,19859921.0,16.5470018737738,68.8632522757769,14.5897458504493,45.2153293896903,62.304,30.079,29.466,83.637,68.405,56.713,23.571,8.974,21.635,10326077.0,9399415,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),47.3286,6.06552449974121,21.5000875057251,72.4344092725215,4.8378,17.4158,12.8426,5.0899,21.2375,2.372,11.8286,7.9964,16.3793,0.5874,,9,99.41,ISCO-08,9359.553,40.1861,22.2536,59.8138,3777258,2091708,478421,1636983,24.0101,45.8892,28.4063,Y15-24,proxy_youth_15_24_x_isco,664015,159431,14.1848,-16.176,50.64,4,37774.0879069903,2817084.0,84.9,13012131976.4,5.87197582944737,764069245,0.3994,141808698797,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
CHN,China,East Asia & Pacific,Upper middle income,country,Beijing,40.0495,116.286,,1406585000.0,15.4072909264023,69.6812776464024,14.9114314271952,43.5105718441117,64.551,49.282,,,,61.572,41.497,4.615,15.795,768071923.0,732625404,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),52.0854,21.6768623336956,31.7923235092111,46.5308142926728,,,,,,,,,,,,0,,,,,,,,,,,,,,,proxy_unavailable,,,14.0075,,,2,29333.3311051433,197026759.0,,384679024468.52,19.135055120832,73608543370,,,2025,2025,2025,,,,,,,,,,,,,,,partial — no ISCO data; no youth x ISCO cross-tab
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,country,Yamoussoukro,5.332,-4.0305,,32711547.0,40.4553985241878,56.8911439268089,2.65345754900338,75.774285110462,67.09,36.549,37.183,83.874,74.93,65.532,35.083,2.323,4.011,13067763.0,12764199,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),39.0205,45.3665059778073,14.3315310024622,40.301955185326,0.1438,2.123,2.4783,2.5006,29.9837,47.3368,9.0192,1.1366,5.278,0.8131,81.136,9,99.19,ISCO-08,11410.381,7.2457,2.2668,92.7543,924856,289339,319182,270984,2.3579,8.6651,6.2097,Y15-24,proxy_youth_15_24_x_isco,1675150,39498,14.5967,-4.8878,30.65,4,8208.90898574972,4774821.0,73.752,1215048591.79267,9.87269575792784,119958051,0.217,22737292087,2025,2025,2025,2022,2022,2022,,2022,2022,,,,,,,,,complete
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,country,Yaounde,3.8721,11.5174,,29879337.0,41.1173982876528,56.0650107463897,2.81759096595751,78.3643636318919,65.171,34.152,34.952,82.463,78.24,62.823,31.916,3.602,6.548,11466010.0,11053004,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),36.9921,41.8539758640678,14.6146003508013,43.5314147377979,18.4068,4.9554,4.1951,2.7716,8.7696,40.4608,11.2409,4.0737,5.1261,0.3917,75.903,9,99.61,ISCO-08,9174.745,30.3289,23.3622,69.6711,3352255,2582225,306345,547721,15.7613,34.6745,28.3015,Y15-24,proxy_youth_15_24_x_isco,1415458,223095,14.8429,-14.5676,35.0,4,5787.85440270861,4434948.0,32.465,1805072605.2928,10.4794564969531,189161798,0.2789,17842119306,2025,2025,2025,2021,2021,2021,,2021,2021,,,,,,,,,complete
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,country,Kinshasa,-4.325,15.3222,,112832473.0,45.9497905359213,50.9663259795786,3.08388348450007,96.2079825806326,64.306,43.228,43.65,74.937,75.623,61.454,39.836,4.434,7.848,39217778.0,37478862,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),33.2164,58.5244697326526,8.02198283936773,33.4535474279797,2.6104,4.7322,2.9259,0.5078,9.223,73.9244,2.3131,1.7712,1.992,1.5679,14.33,9,98.43,ISCO-08,30583.061,10.7763,7.3426,89.2237,4038835,2751923,190318,1773575,5.781,12.0616,14.4523,Y15-24,proxy_youth_15_24_x_isco,6188560,357761,13.7683,-4.9953,34.33,4,1919.82250200565,15535095.0,61.018,548125681.288397,0.458636191140737,2513903,0.1704,12260750750,2025,2025,2025,2020,2020,2020,,2020,2020,,,,,,,,,partial — ISCO data 2020 (>5yr old)
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,country,Brazzaville,-4.2767,15.2662,,6484437.0,39.9430436289226,56.9955726302839,3.06138374079353,75.4522244186846,67.825,43.278,,,,54.344,25.75,19.876,40.501,2641346.0,2116352,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),32.6374,36.3523519266662,19.480142698514,44.1675053748199,,,,,,,,,,,,0,,,,,,,,,,,,,,,proxy_unavailable,,,14.0207,,,2,7248.44439070757,909163.0,,239956067.339388,5.46432892689928,13111989,,,2025,2025,2025,,,,,,,,,,,,,,,partial — no ISCO data; no youth x ISCO cross-tab
COL,Colombia,Latin America & Caribbean,Upper middle income,country,Bogota,4.60987,-74.082,,53425635.0,19.9929217500838,69.8069749680376,10.2001032818786,43.2521594151681,63.398,43.23,43.871,82.159,61.88,58.142,35.598,8.29,17.653,27099025.0,24852516,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),46.518,14.1575818404901,19.9996732725827,65.8427408631905,5.7337,11.1097,6.9671,5.9874,21.6534,5.4088,10.5296,8.8447,23.7655,0.003,19.115,9,100.0,ISCO-08,23807.593,29.7979,16.8434,70.202,7405528,4186009,1488020,2761040,20.9076,33.4296,23.5451,Y15-24,proxy_youth_15_24_x_isco,3203584,669793,16.8446,-8.8903,60.6,4,22640.4224606513,8999338.0,81.44,19586684071.002,11.7929013806037,2309838336,0.3437,193390181300,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
COM,Comoros,Sub-Saharan Africa,Lower middle income,country,Moroni,-11.6986,43.2418,,882847.0,36.8698444521846,58.6758755051127,4.45428004270273,70.4276685366146,55.772,23.07,23.084,75.733,70.135,53.642,21.051,3.819,8.753,310841.0,298970,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),33.8643,33.5566541348354,14.7956999317662,51.6476459333985,0.9343,8.0473,3.1577,7.6476,15.318,41.2448,6.7799,3.3937,13.4768,32.833,3.594,9,67.17,ISCO-08,171.139,19.7869,8.9816,80.2132,59157,26852,22864,24059,3.5941,24.5224,13.6206,Y15-24,proxy_youth_15_24_x_isco,42297,1520,22.7589,-16.1928,39.01,4,4238.26133409182,200926.0,78.324,116386921.039425,11.6872752233131,13602460,0.2651,335911654,2025,2025,2025,2021,2021,2021,,2021,2021,,,,,,,,,partial — only 67% of employment classified by occupation
CPV,Cabo Verde,Sub-Saharan Africa,Upper middle income,country,Praia,14.9218,-23.5087,,527326.0,24.6949938889737,68.1510755690745,7.15393054195179,46.7329664030631,57.025,30.699,31.8,76.519,47.8,50.217,21.976,11.939,28.415,226448.0,199412,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),37.8157,9.24518083164504,23.066314966,67.6890056766895,3.4303,8.2785,5.4416,5.4431,23.9254,8.3911,15.5027,6.1166,23.4709,0.0286,0.353,9,99.97,ISCO-08,205.932,22.5935,11.7088,77.4067,45054,23349,10854,16508,,26.9623,30.9553,,proxy_unavailable,,,23.5342,,,2,12165.2989335356,124102.0,69.77,939605461.871642,1.17053983600744,10998456,0.3097,751303271,2025,2025,2025,2019,,2019,,2015,2015,,,,,,,,,partial — ISCO data 2019 (>5yr old); no youth x ISCO cross-tab
CRI,Costa Rica,Latin America & Caribbean,High income,country,San Jose,9.63701,-84.0089,,5152950.0,18.308580521837,68.9394521584723,12.7519673196907,45.0548429730198,57.659,38.73,35.958,79.43,53.883,53.713,31.004,6.843,19.949,2427166.0,2261075,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),43.8792,11.4892745659806,18.4786521803355,70.032117480454,1.4672,14.2186,10.7122,8.0049,19.7838,2.6846,11.4752,9.033,22.6204,1.9644,,9,98.04,ISCO-08,2186.543,34.4029,15.6858,65.597,777875,354668,180997,321493,29.7955,38.1924,22.4392,Y15-24,proxy_youth_15_24_x_isco,263817,78606,16.5131,-4.6074,70.86,4,33814.7696296148,850912.0,72.536,18083304474.0449,14.7530468725655,2667838385,0.3741,28602836883,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
CUB,Cuba,Latin America & Caribbean,Upper middle income,country,Havana,23.1333,-82.3667,,10937203.0,15.0237672728682,67.9412246466841,17.0350080804476,47.1860360899868,52.248,38.796,,,,51.335,37.137,1.746,4.277,4855941.0,4771156,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),43.6232,15.5279603346471,16.9089579880263,67.5630816773266,,,,,,,,,,,,0,,,,,,,,,,,,,,,proxy_unavailable,,,12.9981,,,2,,1421630.0,81.782,,,,,,2025,2025,2025,,,,,,,,,,,,,,,partial — no ISCO data; no youth x ISCO cross-tab
CUW,Curacao,Latin America & Caribbean,High income,country,Willemstad,12.11,-68.93,,156263.0,14.6037188590036,68.0956077784427,17.3006733625537,46.8526802496053,,,30.1,84.842,64.4,,,,,,51110,ILOSTAT survey total (ISCO base),32.7077,,,,11.804,15.0068,12.6081,11.4498,22.1992,0.1917,10.9959,3.8388,11.9057,10.142,0.154,9,89.86,ISCO-08,51.11,50.8687,26.8108,49.1313,25999,13703,5852,7670,,,,,proxy_unavailable,,,,,,0,32740.7736763943,,77.615,1546440314.48603,3.54947670761026,54890539,0.461,771428615,2025,,,2020,,2020,,,,,,,,,,,,partial — ISCO data 2020 (>5yr old); only 90% of employment classified by occupation; no labor force data; no youth x ISCO cross-tab
CYM,Cayman Islands,Latin America & Caribbean,High income,country,George Town,19.3022,-81.3857,,75844.0,16.0560891836479,74.4302412204078,9.51366959594428,34.3554587164089,,,55.392,93.91,78.467,,,,,,38974,ILOSTAT survey total (ISCO base),51.3871,,,,9.9194,16.3699,14.0684,8.0156,21.658,1.9013,11.7848,3.936,12.3467,0.419,,9,99.58,ISCO-08,38.974,48.3733,26.2893,51.6268,18853,10246,3124,6380,,,,,proxy_unavailable,,,,,,0,92201.086358256,,85.951,4766704350.25344,0.380386054039246,18131879,0.4414,1586146685,2025,,,2015,,2015,,,,,,,,,,,,partial — ISCO data 2015 (>5yr old); no labor force data; no youth x ISCO cross-tab
CYP,Cyprus,Europe & Central Asia,High income,country,Nicosia,35.1676,33.3736,,1370754.0,16.0809671173675,68.9867036682001,14.9323292144324,44.9554692176076,66.961,40.722,38.727,89.913,72.869,63.664,35.547,4.924,12.709,770268.0,732340,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),53.4261,2.15460914852042,16.2688762140927,81.5765146373869,4.4925,24.1344,15.1507,9.5944,16.7918,1.6954,9.9343,4.9782,13.2283,0.0002,5.704,9,100.0,ISCO-08,498.939,53.372,28.6269,46.628,390865,209646,70264,176746,27.5814,56.7508,46.5184,Y15-24,proxy_youth_15_24_x_isco,44254,12206,9.0821,-25.7906,33.24,4,64574.62109375,124493.0,82.467,35729151587.8162,28.0748917964821,10030920648,0.469,22179281088,2025,2025,2025,2025,2024,2025,,2024,2024,,,,,,,,,complete
CZE,Czechia,Europe & Central Asia,High income,country,Prague,50.0878,14.4205,,10886878.0,15.085690166576,63.734238443764,21.1800713896599,56.9015469681577,60.341,26.87,27.798,90.672,80.236,58.637,24.393,2.825,9.219,5578235.0,5420650,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),49.7907,2.70894317746628,34.8943828681843,62.3966739543494,5.1811,21.3568,16.8312,7.1068,15.2791,1.2699,15.3367,12.2512,5.3872,0.0013,20.109,9,100.0,ISCO-08,5233.114,50.4759,26.5379,49.5241,2736122,1438527,385235,1157677,34.7055,50.2998,45.929,Y15-24,proxy_youth_15_24_x_isco,259462,90048,9.7702,-15.7704,38.03,4,60487.2877495391,1063674.0,77.387,47538348447.3908,18.1663816793719,8635997823,0.4488,147152730853,2025,2025,2025,2025,2024,2025,,2024,2024,,,,,,,,,complete
DEU,Germany,Europe & Central Asia,High income,country,Berlin,52.5235,13.4115,,83491249.0,13.8859014629835,62.4109003911736,23.7031981458429,60.2284213984744,60.571,54.624,54.655,88.369,77.313,58.323,50.875,3.711,6.862,43549178.0,41933068,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),50.2245,1.07104516806735,25.9741661900069,72.9547886419257,4.4556,23.8106,20.1084,12.4382,14.1058,1.2049,10.9119,5.5611,7.4035,0.5058,160.125,9,99.49,ISCO-08,42178.036,60.8128,28.2662,39.1872,25500673,11852885,5215719,9984515,48.2658,64.2646,58.5974,Y15-24,proxy_youth_15_24_x_isco,4417168,2131981,10.3992,-12.547,41.86,4,75406.6888111618,8682394.0,73.112,518047040037.538,11.4732816343515,59436995902,0.5072,1603783548216,2025,2025,2025,2025,2024,2025,,2024,2024,,,,,,,,,complete
DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income,country,Djibouti,11.5806,43.1425,,1184076.0,28.8031220955741,66.2248173998893,4.97206050453666,51.0008263703976,31.744,13.424,29.513,58.447,41.82,23.486,3.119,26.015,76.766,267610.0,197991,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),16.7211,1.15106823576948,6.68266074044144,92.1662710237891,4.7935,13.9271,14.4222,14.3971,27.8946,2.145,9.4628,1.1339,11.8239,3.4931,8.143,9,96.51,ISCO-08,71.702,47.5399,18.7206,52.4602,94125,37065,28505,27574,47.0772,48.7409,39.716,Y15-24,proxy_youth_15_24_x_isco,6165,2902,16.6939,-0.4627,90.03,4,8451.96838146073,197668.0,70.785,1173078422.95904,6.8638941750245,80518862,0.4654,778806723,2025,2025,2025,2017,2017,2025,,2017,2017,,,,,,,,,partial — ISCO data 2017 (>5yr old)
DMA,Dominica,Latin America & Caribbean,Upper middle income,country,Roseau,15.2976,-61.39,,65871.0,17.6115619046173,69.1900138906811,13.1984242047016,44.5300157977883,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,proxy_unavailable,,,,,,0,22713.1288027433,,,180574263.333333,1.77735922832414,3209453,,,2025,,,,,,,,,,,,,,,,,partial — no ISCO data; no labor force data; no youth x ISCO cross-tab
DNK,Denmark,Europe & Central Asia,High income,country,Copenhagen,55.6763,12.5681,,6009169.0,15.5619810189309,63.319051522972,21.1189674580971,57.9303428245687,64.935,69.073,69.926,87.796,77.587,61.345,60.966,5.529,11.737,3294817.0,3112647,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),51.7983,1.62047541964826,18.8047064030071,79.5748181773447,3.2322,29.9067,16.9434,7.6591,19.4322,1.3575,7.0678,4.3837,10.0172,2.3924,14.596,9,97.61,ISCO-08,3009.662,57.7414,33.1389,42.2584,1797286,1031497,238401,930890,21.4682,65.1235,58.7923,Y15-24,proxy_youth_15_24_x_isco,432873,92930,11.8157,-36.2732,33.67,4,83218.071525634,710024.0,78.626,128900469810.937,7.45621210752855,9611092437,0.4969,128711252050,2025,2025,2025,2025,2024,2025,,2024,2024,,,,,,,,,complete
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,country,Santo Domingo,18.479,-69.8908,,11520487.0,26.1990877642586,65.6130595868039,8.1878526489375,52.4086962411681,64.839,48.235,47.983,84.568,65.465,61.537,42.296,5.092,12.312,5512758.0,5232048,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),45.4152,7.00888333168325,18.9706856552867,74.0204119000483,2.8019,9.0358,6.7805,8.7263,25.5063,4.27,15.2415,9.907,17.7308,-0.0,41.699,9,100.0,ISCO-08,5098.252,27.3445,11.8377,72.6556,1430677,619354,456564,472757,25.1459,30.0414,20.3233,Y15-24,proxy_youth_15_24_x_isco,829927,208693,17.0322,-2.1986,65.91,4,28721.0964580217,1962188.0,83.35,14434800000.0,0.521655998004822,75300000,0.3495,52519419271,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
