iso3,country_name,region,income_group,row_type,capital,lat,lon,member_count,population_total,pop_0_14_pct,pop_15_64_pct,pop_65plus_pct,age_dependency_ratio,lfp_rate_total,lfp_rate_15_24,lfp_rate_15_24_ilo,lfp_rate_25_54,lfp_rate_55_64,emp_to_pop_ratio_15plus,youth_employment_rate_15_24,unemployment_rate_total,unemployment_rate_15_24,labor_force_total,employed_total,employed_total_source,employed_share_of_population_pct,emp_agriculture_pct,emp_industry_pct,emp_services_pct,isco1_managers_pct,isco2_professionals_pct,isco3_technicians_pct,isco4_clerical_pct,isco5_service_sales_pct,isco6_agricultural_pct,isco7_craft_pct,isco8_operators_pct,isco9_elementary_pct,isco_unclassified_pct,isco_armed_forces_thousands,isco_groups_reported,isco_classified_share_pct,isco_classification,isco_source_employed_thousands,white_collar_pct,professional_core_pct,blue_collar_service_pct,white_collar_employed,professional_core_employed,clerical_employed,professionals_employed,young_white_collar_pct,prime_white_collar_pct,late_career_white_collar_pct,youth_age_band_used,entry_level_data_quality,young_employed_total,young_white_collar_employed,youth_cohort_share,youth_wc_gap,entry_level_squeeze_index,squeeze_components_present,gdp_per_capita_ppp,population_15_24,labor_force_advanced_edu_pct,service_exports_usd,ict_service_exports_pct,ict_service_exports_usd,ai_exposure_weighted_score,exposed_wage_bill_ppp,data_year_population,data_year_labor,data_year_sector,data_year_occupation,data_year_youth_occupation,data_year_lfp_age,data_year_context,prime_white_collar_year,late_career_white_collar_year,data_source_override,data_year_population_range,data_year_labor_range,data_year_sector_range,data_year_occupation_range,data_year_youth_occupation_range,isco_coverage_pct_of_employment,youth_isco_coverage_pct_of_employment,data_quality_flag
BDI,Burundi,Sub-Saharan Africa,Low income,country,Bujumbura,-3.3784,29.3639,,14390003.0,43.9812536516238,53.4706369925926,2.54810935578364,87.018537835051,78.255,52.839,56.406,91.76,90.589,77.533,51.952,0.922,1.678,6308213.0,6250051,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),43.4333,85.3410580900747,3.10326262172932,11.555679288196,0.2225,1.9798,0.548,0.3415,4.3734,82.216,2.4724,0.985,6.8615,-0.0,2.304,9,100.0,ISCO-08,4951.358,3.0918,2.2023,96.9083,193239,137645,21344,123739,0.3991,4.4525,2.3058,Y15-24,proxy_youth_15_24_x_isco,1084729,4329,14.5097,-2.6927,28.78,4,1248.05425025467,2087945.0,59.157,148118951.415671,2.8757376356008,4259512,0.1162,906406795,2025,2025,2025,2020,2020,2020,,2020,2020,,,,,,,,,partial — ISCO data 2020 (>5yr old)
BEL,Belgium,Europe & Central Asia,High income,country,Brussels,50.8371,4.36761,,11941781.0,15.7038467920041,63.3352703548202,20.9608828531757,57.8899137274854,54.274,31.854,34.43,85.934,64.136,51.068,26.191,5.906,17.777,5463472.0,5140799,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),43.0488,0.984722440079227,19.2466752826094,79.7685825220163,8.126,29.1921,15.2015,10.4099,13.3835,0.9811,8.7265,5.3361,8.6432,0.0,21.752,9,100.0,ISCO-08,5124.887,62.9295,37.3181,37.0704,3235079,1918449,535152,1500707,34.7625,62.3403,58.9845,Y15-24,proxy_youth_15_24_x_isco,325278,113075,10.4,-28.167,43.76,4,74675.607672673,1241946.0,75.264,159871372309.31,14.8695311439525,23772123496,0.5125,196744798240,2025,2025,2025,2025,2024,2025,,2024,2024,,,,,,,,,complete
BEN,Benin,Sub-Saharan Africa,Lower middle income,country,Porto-Novo,6.4779,2.6323,,14814460.0,41.2595376834369,55.5874076944893,3.15305462207379,79.8968642766814,76.356,52.497,52.573,91.003,84.776,75.143,50.981,1.589,2.887,6644562.0,6538980,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),44.1392,40.2410451099361,18.3165686015882,41.442370995676,0.6305,2.6139,1.4044,0.9904,29.1173,42.724,14.8195,3.6187,4.0814,0.0303,8.16,9,99.97,ISCO-08,5435.231,5.6392,3.2444,94.3609,368746,212151,64762,170922,1.4137,7.2294,5.7611,Y15-24,proxy_youth_15_24_x_isco,1153948,16313,15.2789,-4.2255,31.16,4,4816.87504692826,2263486.0,76.049,461100622.56452,3.04090040864195,14021611,0.2086,6570367985,2025,2025,2025,2022,2022,2022,,2022,2022,,,,,,,,,complete
BFA,Burkina Faso,Sub-Saharan Africa,Low income,country,Ouagadougou,12.3605,-1.53395,,24074580.0,41.1699311057555,56.145860073156,2.68420882108847,78.1075218541557,70.005,51.766,51.858,82.407,68.017,67.57,48.433,3.477,6.438,9914873.0,9570133,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),39.752,51.7754423010249,16.6664054354484,31.558141814278,0.9652,2.9806,3.4945,0.7779,21.9984,43.4318,13.5927,2.8851,9.8738,0.1005,23.345,9,99.9,ISCO-08,7576.375,8.2182,3.9458,91.7818,786493,377618,74446,285247,5.7198,9.09,8.291,Y15-24,proxy_youth_15_24_x_isco,1831642,104766,15.7087,-2.4984,42.62,4,3071.62546744866,3781805.0,72.833,630155357.219807,14.2143612785876,89572559,0.2036,5984997961,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
BGD,Bangladesh,South Asia,Lower middle income,country,Dhaka,23.7055,90.4113,,175686899.0,27.645743159125,65.6858333367082,6.66842350416686,52.2398280353678,58.796,48.383,48.208,66.971,54.1,56.574,43.842,3.778,9.385,74739682.0,71916017,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),40.9342,44.2601251126533,18.0335872114531,37.7062779422273,1.3171,4.4768,2.615,0.9916,14.6786,42.2486,14.7433,8.7266,10.2024,0.0,115.58,9,100.0,ISCO-08,68955.98,9.4005,5.7939,90.5995,6760465,4166742,713119,3219536,5.0079,10.9159,8.5413,Y15-24,proxy_youth_15_24_x_isco,15081908,755287,19.5806,-4.3926,49.71,4,10153.7083791829,34400594.0,74.856,8424862919.07693,8.7940643795819,740887869,0.1985,144947531485,2025,2025,2025,2024,2024,2024,,2024,2024,,,,,,,,,complete
BGR,Bulgaria,Europe & Central Asia,High income,country,Sofia,42.7105,23.3238,,6433302.0,14.3997234665952,63.3646779062722,22.2355986271326,57.8166346575358,56.115,19.548,19.092,87.111,73.324,54.131,17.564,3.536,10.152,3090210.0,2980940,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),46.3361,4.68922155611638,27.8764008685803,67.4343775753033,7.7312,21.8508,11.0666,6.2216,19.1308,2.1854,11.2662,11.6586,8.8887,0.0,19.892,9,100.0,ISCO-08,2910.218,46.8702,29.582,53.1297,1397173,881822,185462,651359,26.2845,42.7926,37.2533,Y15-24,proxy_youth_15_24_x_isco,124756,32791,11.0409,-20.5857,34.03,4,44451.1001576913,710294.0,75.227,18618670000.0,25.6812650957346,4781510000,0.4342,57534132339,2025,2025,2025,2025,2024,2025,,2024,2024,,,,,,,,,complete
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,country,Manama,26.1921,50.5354,,1600366.0,18.4203856616879,77.5636565111786,4.01595782713348,28.9264014720028,70.429,42.221,43.135,81.916,51.737,69.652,39.934,1.102,5.416,919501.0,909368,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),56.8225,0.834352490634819,34.9061554245227,64.2593849930069,,,,,,,,,,,,0,,,,,,,,,,,,,,,proxy_unavailable,,,8.2862,,,2,70996.7821254802,132609.0,,17025000000.0,8.26225513168994,1406648936,,,2025,2025,2025,,,2015,,,,,,,,,,,,partial — no ISCO data; no youth x ISCO cross-tab
BHS,"Bahamas, The",Latin America & Caribbean,High income,country,Nassau,25.0661,-77.339,,403033.0,17.548460732075,70.3571051962311,12.094434071694,42.1322321044428,73.775,59.148,64.926,88.394,73.04,66.983,47.763,9.207,19.248,245159.0,222587,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),55.228,0.7749709105122,14.7900390405635,84.4354393074231,5.7883,9.3246,10.1791,9.0389,31.1451,1.0797,13.4148,4.2937,15.7357,2.9808,,9,97.02,ISCO-08,201.993,34.3309,15.1129,65.669,76416,33639,20119,20755,22.5,35.441,41.4262,Y15-24,proxy_youth_15_24_x_isco,29260,6584,15.1997,-11.8309,54.88,4,41257.7650774105,61260.0,98.774,5896984360.93736,,,0.3937,3615521177,2025,2025,2025,2023,2023,2023,,2023,2023,,,,,,,,,complete
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,country,Sarajevo,43.8607,18.4214,,3140095.0,12.8485423452885,64.2915796669242,22.8598779877873,55.5413393091102,48.991,25.996,24.606,80.096,51.096,43.584,18.665,11.037,28.201,1340707.0,1192733,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),37.984,16.7089925708187,30.6001614784247,52.6908459507566,2.5506,16.8583,8.3142,6.2961,18.942,11.0006,17.1757,10.0019,8.8607,0.0001,8.586,9,100.0,ISCO-08,1331.197,34.0192,19.4089,65.9809,405758,231496,75096,201075,18.119,37.3075,28.9055,Y15-24,proxy_youth_15_24_x_isco,91413,16563,15.5968,-15.9002,56.0,4,25814.2641520511,489754.0,82.572,3916228541.6743,13.3235292250453,521779854,0.3666,11287439764,2025,2025,2025,2025,2025,2025,,2025,2025,,,,,,,,,complete
BLR,Belarus,Europe & Central Asia,Upper middle income,country,Minsk,53.9678,27.5766,,9085991.0,15.8888261684807,65.8266040410985,18.2845697904208,51.9142537893753,62.747,39.083,37.855,95.63,62.075,60.626,35.494,3.38,9.183,4795335.0,4633253,SL.TLF.TOTL.IN x (1 - SL.UEM.TOTL.ZS),50.9934,9.47837477332961,31.0582019807505,59.4634450411494,9.9016,22.9462,9.9613,3.1055,15.116,2.6421,15.5709,13.8082,6.9482,0.0173,,9,99.98,ISCO-08,4797.368,45.9146,32.8478,54.0854,2127340,1521922,143886,1063155,47.6291,47.7822,37.0005,Y15-24,proxy_youth_15_24_x_isco,380513,181235,11.7989,1.7145,60.45,4,34715.9778689211,1072048.0,83.692,11716258072.0,31.4053956639542,3679537205,0.4148,66719712491,2025,2025,2025,2024,2024,2024,,2024,2024,,,,,,,,,complete
